Year,Pig Manure (t),Kitchen food waste (t),Municipal fecal residue (t),Chicken litter (t),Bagasse feed (t),Percolate (t),Raw Biogas Produced (m3)
2017,26.92,9.5,61.92,0,12.4,214,20366
2017,42.76,21.68,62.4,0,4,234,20518
2017,33.02,8.26,62.4,0,0,253,16909
2017,27.96,16.52,62.36,0,15.75,262,16666
2017,27.88,15,62.38,0,0,273,16817
2017,21.08,15.52,31.12,0,0,280,19373
2017,6.38,15.06,61.08,0,12,267,11544
2017,38.62,16.96,31,0,18,272,12957
2017,18.4,15.86,62.86,0,21.6,260,16054
2017,35.02,17.66,58.9,0,16.2,282,15031
2017,31.86,12.02,31.1,0,20.25,248,13345
2017,28.96,11.6,0,0,18.45,222,14516
2017,42.78,16.04,62.68,0,13.5,246,16609
2017,33.66,14.37,62.22,7.86,19.8,180,16172
2017,36.18,19.64,62.54,0,2.7,242,15431
2017,26.32,14.98,61.42,14.96,15.3,201,15916
2017,33.02,19.74,62.2,7.68,15.3,247,20425
2017,23.98,14.46,62.42,7,15.3,234,18884
2017,27.92,9.94,31.2,15.08,5.4,218,8511
2017,34.36,23.58,62.42,16.24,10.35,218,17532
2017,12.04,15.8,62.44,0,10.35,230,17380
2017,31.8,29.3,62.66,14.84,10.35,227,16806
2017,27.12,14.8,60.3,14.76,10.35,230,15567
2017,29.36,29.94,62.4,14.66,10.35,223,14204
2017,27.44,14.24,61.78,7.04,10.35,261,17742
2017,35.74,11.42,62.48,6.64,10.35,271,18305
2017,12.24,27.24,62.4,20.8,10.35,282,20524
2017,22.7,20.54,62.4,15.98,0,301,18032
2017,19.7,23.34,30.94,5.4,0,82,7183
2017,40.2,19.04,62.46,13.84,0,201,17273
2017,20.2,20.66,62.4,8.86,0,241,15781
2017,26.2,28.58,31.14,14.68,0,263,19434
2017,27,14.7,31.04,13.22,0,262,18570
2017,26.74,21.12,61.66,16.44,0,263,18189
2017,13.04,25.86,59.9,14.88,0,263,16515
2017,25.46,24.98,58.98,14.36,0,200,17714
2017,14.18,18.56,60.22,6.92,0,201,15376
2017,26.64,22.44,60.86,12.68,0,190,13588
2017,20.66,25.66,60.54,6.9,0,202,17142
2017,19.84,13.32,59.36,14.88,0,201,15078
2017,36.24,27.8,59.96,13.72,0,200,14421
2017,38.3,23.6,60.84,0,0,201,14975
2017,20.3,15.86,58.66,15.28,0,200,13396
2017,20.96,26.26,57.48,20.38,0,244,14688
2017,25.54,18.44,58.94,13.68,0,252,14155
2017,27.72,31.14,60.44,0,0,272,16227
2017,34.98,19.84,60.82,0,0,279,13113
2017,23.32,17.92,0,13.9,0,182,9867
2017,21.34,18.98,57.68,22.48,0,283,11588
2017,19.64,29.9,59.28,15.76,0,202,14660
2017,33.38,22.64,58.64,6.72,0,321,18424
2017,21.14,21.2,60.8,14.9,0,311,15617
2017,36.04,27.08,58.3,7.12,0,286,11826
2017,17.28,26,60.72,14.54,0,337,11143
2017,25.9,31.12,58.7,0,0,343,15250
2017,26.58,21.2,62.14,6.84,0,320,12511
2017,20.46,35.4,62.28,28.38,0,320,14986
2017,33.56,20.92,62.58,0,0,320,7191
2017,14.42,31.3,31.26,16.88,0,294,8389
2017,27.26,26.62,30.22,6.96,0,300,15977
2017,25.22,28,31.14,13.4,0,307,12225
2017,25.3,24.84,30.48,7.62,0,296,11126
2017,28.44,30,62,16.42,0,119,13940
2017,18.56,27.24,61.3,32.36,0,163,13095
2017,13.86,18.68,62.3,6.3,0,160,8827
2017,33.08,45.06,61.52,0,0,203,13607
2017,29.7,25.58,61.9,15,0,340,16164
2017,20.09,19.14,92.46,14.22,0,360,14794
2017,28.38,38.64,62.2,15,0,385,13004
2017,19.78,30.62,62.36,16.78,0,400,14304
2017,26.74,32.06,60.82,6.46,0,375,13531
2017,25.92,29.6,61.78,13.92,0,370,15307
2017,26.74,41.02,62.34,8.04,0,442,13392
2017,35.3,31.28,0,6.96,0,442,10997
2017,13.12,26.72,0,28.84,0,465,15665
2017,24.74,34.86,0,13.68,0,440,13013
2017,0,33.58,0,0,0,432,13149
2017,37.62,35.92,0,0,0,340,14168
2017,19.84,32.42,0,22.46,0,441,18702
2017,26.3,37.72,0,22.6,0,443,14513
