Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2014,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4726
2014,0,0,0,0,0,0,0,23,0,0,0,0,0,0,5,3558
2014,0,0,0,0,0,0,0,50,0,0,0,0,0,0,10,6348
2014,9.68,0,0,0,0,0,0,26,0,0,0,0,0,0,10,5081
2014,9.7,0,0,0,0,0,0,50,0,0,0,0,0,0,5,6783
2014,0,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,5940
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,14.32,0,0,0,0,0,0,40,0,0,0,0,0,0,0,8189
2014,3.26,0,0,0,0,0,0,40,0,0,0,0,0,0,0,4910
2014,3.24,0,0,0,0,0,0,27,0,0,0,0,0,0,0,5026
2014,2.96,0,0,0,0,7.36,0,5.4,0,0,0,0,0,0,0,3118
2014,6.47,0,0,0,0,8.7,0,19.08,0,0,0,0,0,0,0,5123
2014,3.16,0,0,0,0,0,0,29,0,0,0,0,0,0,0,4451
2014,3.02,0,0,0,0,0,0,37,0,0,0,0,0,0,0,5317
2014,3.26,0,0,0,0,0,0,35,0,0,0,0,0,0,4.02,6696
2014,10.16,0,0,0,0,0,0,40,0,0,0,0,0,0,0,6009
2014,10.44,0,0,0,0,0,0,40,0,0,0,0,0,0,0,5104
2014,8.28,0,0,0,0,0,0,35,0,0,0,0,0,0,0,4518
2014,8.61,0,0,0,0,0,0,40,0,0,0,0,0,0,0,5823
2014,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,5242
2014,10.24,0,0,0,0,0,0,40,0,0,0,0,0,0,0,6126
2014,5.74,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5530
2014,3.64,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5075
2014,3.2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5550
2014,5.94,0,0,0,0,0,0,35,0,0,0,0,0,0,0,5932
2014,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4107
2014,5.56,0,0,0,0,0,0,33,0,0,0,0,0,0,0,6990
2014,5.44,0,0,0,0,0,0,30,0,0,0,0,0,0,0,7385
2014,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,6213
2014,3.5,0,0,0,0,0,0,36,0,0,0,0,0,0,0,4796
2014,6.56,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5659
2014,3.06,0,0,0,0,0,0,34,0,0,0,0,0,0,0,6452
2014,3.02,0,0,0,0,0,0,35,0,0,0,0,0,0,0,5483
2014,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,12928
2014,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,6062
2014,2.98,0,0,0,0,0,0,29,0,0,0,0,0,0,0,4402
2014,3.66,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5169
2014,10.1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4758
2014,9.88,0,0,0,0,0,0,22,0,0,0,0,0,0,0,4729
2014,3.18,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4153
2014,3.06,0,0,0,0,0,0,22.7,0,0,0,0,0,0,0,4528
2014,3.5,0,11,0,0,2.12,0,32,0,0,0,0,0,0,0,7638
2014,3.46,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5520
2014,0,0,11,0,0,0,0,0,0,0,0,0,0,0,20,6600
2014,0,0,14.02,0,0,0,0,0,0,0,0,0,0,0,22.1,6183
2014,8.68,0,10,0,0,0,0,2,0,0,0,0,0,0,24,7113
2014,2.52,0,10,0,0, ,0,8,0,0,0,0,0,0,29.94,5909
2014,3.72,0,10.6,0,0,0,0,10,0,0,0,0,0,0,24,7132
2014,3.78,0,0,0,0,0,0,14,0,0,0,0,0,0,18.58,8533
2014,3.42,0,0,0,0,0,0,5.6,21.84,0,0,0,0,0,0,4500
2014,3.12,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,4629
2014,6.18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3448
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,12,21.2,0,0,0,0,0,0,3463
2014,3.54,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4516
2014,2.69,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4104
2014,3.07,0,0,0,0,0,0,22.6,11.28,0,0,0,0,0,0,5343
2014,2.98,0,0,0,0,0,0,26.1,0,0,0,0,0,0,0,5667
2014,2.26,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,4565
2014,3.54,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,4631
2014,10.5,0,2.88,0,0,0,0,2,0,0,0,0,0,0,0,4122
2014,10.3,0,0,0,0,3.44,0,1,0,0,0,0,0,0,0,3064
2014,3.37,0,0,0,0,5.94,0,1,11.1,0,0,0,0,0,0,3645
2014,3.44,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,1796
2014,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992
2014,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505
2014,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1701
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3836
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117
2014,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678
2014,0,0,11,0,0,0,0,11.2,0,0,0,0,0,0,0,4608
2014,0,0,11,0,0,0,0,4.9,0,0,0,0,0,0,0,4004
2014,0,0,11,0,0,0,0,10.5,0,0,0,0,0,0,0,4224
2014,0,0,14.02,0,0,0,0,17.5,0,0,0,0,0,0,0,4478
2014,0,0,10,0,0,0,0,4.9,0,0,0,0,0,0,0,3339
2014,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3998
2014,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,2912
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865
2014,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,1611
2014,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1854
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735
2014,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620
2014,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520
2014,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,2537
2014,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1117
2014,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2014,2.78,0,0,0,0,0,0,24.8,0,0,0,0,0,0,0,2297
2014,5.98,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2505
2014,2.86,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2949
2014,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,605
2014,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,994
2014,12.38,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2204
2014,6.32,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3271
2014,6.5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3699
2014,10.72,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3682
2014,3.04,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3845
2014,6.74,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3652
2014,6.14,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3276
2014,2.94,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4021
2014,3.16,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4078
2014,6.66,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4665
